u,v,weight,transport_type,risk
54,50,30,road,2
47,14,39,air,2
50,59,7,rail,5
68,37,81,air,4
9,63,73,road,4
62,33,34,air,4
14,31,96,road,2
44,43,131,road,4
57,68,111,road,1
23,58,62,air,2
55,30,101,rail,5
4,20,149,air,1
18,29,81,rail,4
17,49,139,rail,5
29,15,74,road,1
52,45,104,road,5
49,35,19,road,5
42,69,50,road,4
21,59,107,rail,5
20,12,97,road,4
24,56,124,air,2
47,22,147,road,2
65,4,69,road,5
21,65,22,air,2
55,7,17,rail,2
58,40,131,rail,2
37,32,138,air,3
8,43,44,air,4
68,43,84,rail,2
40,21,126,road,1
63,15,27,road,2
23,20,38,rail,2
22,69,63,air,5
19,7,122,air,1
49,14,26,air,2
4,20,115,air,1
20,40,132,rail,1
35,26,63,air,5
41,58,50,road,3
61,47,117,road,3
68,18,123,road,1
56,38,99,air,1
53,11,64,air,2
41,52,109,rail,2
62,3,18,road,3
6,5,41,rail,2
69,10,58,rail,1
43,22,15,road,1
11,1,150,rail,2
63,2,70,rail,5
25,28,5,rail,1
3,6,73,road,5
62,69,37,rail,4
66,59,98,rail,1
15,9,89,rail,5
60,55,25,rail,1
8,37,40,air,4
41,67,38,road,3
66,28,83,rail,3
10,38,117,rail,5
31,22,104,road,2
60,40,120,rail,4
38,21,135,air,4
56,69,67,rail,3
40,61,21,rail,2
15,34,60,air,5
8,6,123,rail,5
36,20,82,road,3
15,4,10,rail,4
56,57,24,air,3
61,30,49,rail,2
2,55,8,road,1
24,49,24,road,3
5,60,146,rail,3
35,28,146,rail,3
2,7,14,road,1
20,8,53,rail,4
11,52,114,air,3
45,19,110,air,4
8,42,110,rail,5
31,65,69,rail,1
64,49,79,road,3
44,60,37,road,3
18,10,94,air,2
1,58,88,road,1
64,14,18,road,4
64,42,48,road,3
5,17,124,rail,3
29,43,10,road,4
7,41,29,air,2
64,49,10,rail,3
66,25,100,air,2
3,6,120,road,5
56,46,21,road,1
9,62,45,road,2
0,2,42,road,2
5,37,35,rail,4
37,13,21,air,2
40,15,89,rail,3
69,11,2,road,4
53,44,43,road,4
67,43,6,air,3
0,1,50,air,2
23,55,113,air,3
34,53,46,air,2
21,8,145,rail,4
64,52,98,road,2
38,50,75,air,4
23,12,70,air,1
68,22,36,road,1
57,24,21,road,5
46,5,141,air,5
0,59,4,road,3
66,68,56,rail,1
53,23,52,road,5
39,56,117,road,4
60,36,112,road,2
24,5,80,air,3
47,35,1,road,4
66,69,87,road,4
42,26,81,road,1
66,54,57,road,2
24,40,89,rail,5
57,51,78,rail,3
29,64,89,rail,3
60,69,122,rail,2
57,39,110,road,3
53,29,7,rail,5
42,24,23,rail,1
37,1,57,road,4
33,0,83,air,1
6,8,103,road,4
16,31,46,rail,1
57,52,132,air,4
38,33,46,air,4
62,46,51,road,3
3,34,20,road,4
58,47,148,rail,3
20,57,79,rail,2
52,17,139,rail,3
4,33,130,air,4
7,29,89,rail,4
5,32,8,air,4
50,39,101,road,1
8,23,141,road,4
65,15,71,air,1
2,55,100,rail,2
41,15,40,rail,4
55,31,45,rail,5
35,16,114,rail,2
10,23,20,rail,5
28,55,27,air,4
18,40,72,air,5
18,26,88,road,2
64,31,128,air,4
20,31,70,air,3
48,23,7,road,1
34,23,2,road,5
35,2,41,rail,1
9,19,79,rail,5
11,58,87,rail,2
67,63,147,air,2
2,0,18,air,5
31,19,147,road,3
64,65,150,road,2
28,50,123,rail,3
60,70,76,air,1
46,8,114,air,4
50,46,36,rail,3
7,34,107,road,3
38,63,49,rail,1
26,47,12,air,4
49,50,46,air,5
26,32,11,road,1
68,5,37,rail,1
14,53,68,rail,3
60,53,30,road,4
32,34,47,rail,5
39,23,127,air,5
64,20,10,rail,2
17,14,74,road,4
12,47,127,road,1
41,21,75,road,3
3,38,102,air,2
32,69,7,rail,2
42,22,90,road,3
53,49,120,rail,1
34,4,146,rail,3
63,46,55,rail,3
7,29,10,air,5
10,16,136,rail,5
3,4,61,air,5
62,63,34,air,1
18,50,39,air,5
7,23,74,rail,3
23,33,140,road,3
15,27,26,rail,1
65,25,131,rail,1
26,17,95,road,4
32,4,8,air,3
5,34,43,road,5
52,0,89,air,3
17,59,73,rail,3
17,21,71,rail,2
51,40,12,rail,2
39,22,145,road,2
13,2,75,air,5
49,37,146,road,5
59,24,138,rail,1
62,33,13,air,3
34,24,144,rail,2
0,40,86,air,3
13,45,38,road,5
15,38,60,rail,3
50,9,57,rail,5
17,40,55,rail,3
66,35,38,road,3
48,32,31,road,1
31,69,102,road,5
55,52,107,air,3
20,49,68,rail,4
58,45,148,rail,4
61,48,40,air,1
23,32,74,road,2
20,13,128,road,4
41,5,140,road,5
69,49,92,road,5
42,56,147,road,2
49,0,137,air,5
5,21,109,road,2
5,65,7,air,4
37,51,46,road,5
21,47,107,air,1
37,64,87,road,3
5,43,77,rail,5
48,40,138,rail,5
61,60,96,road,4
2,29,66,air,5
49,68,64,air,3
45,35,58,road,2
2,57,64,air,5
32,58,114,rail,4
0,49,135,road,1
58,48,90,air,3
11,49,32,air,5
49,56,138,air,5
8,59,55,road,3
65,49,84,air,4
63,1,134,rail,1
40,43,99,road,1
55,34,88,rail,4
26,41,33,rail,3
24,48,39,rail,2
33,14,139,rail,2
33,61,44,rail,1
3,65,147,rail,3
36,19,71,road,5
29,17,45,road,3
25,38,101,road,4
15,42,39,air,5
19,40,98,road,2
36,31,87,air,3
45,65,61,road,5
17,4,132,rail,5
30,0,46,rail,5
25,34,6,road,5
38,3,47,road,3
51,18,69,rail,5
42,36,124,road,5
14,50,77,air,2
30,9,118,rail,5
56,6,16,air,4
16,5,145,road,3
59,32,90,road,5
23,5,107,air,3
13,47,60,road,2
26,57,77,road,2
65,21,89,road,3
42,45,150,road,4
59,53,26,rail,2
34,10,34,rail,3
32,52,53,rail,1
55,7,79,road,4
69,14,132,road,4
28,12,95,air,2
7,59,65,road,4
34,45,134,road,1
45,44,76,rail,3
6,24,112,rail,5
15,70,14,rail,2
8,44,108,air,2
66,40,68,rail,1
67,43,30,road,4
7,35,122,rail,3
66,15,149,rail,4
41,17,79,road,1
31,40,79,rail,3
18,21,95,road,5
4,49,102,air,1
9,67,70,air,3
24,0,104,air,3
28,51,74,rail,4
31,26,124,rail,5
68,15,84,rail,1
39,54,45,road,4
11,16,17,road,4
18,43,95,road,3
4,43,49,road,1
61,27,117,rail,1
47,4,111,air,3
6,2,20,road,1
51,33,97,air,3
29,55,25,road,5
62,51,25,rail,1
56,70,116,air,5
19,5,39,road,1
17,47,24,road,1
27,7,48,rail,2
37,68,33,air,1
53,49,17,road,1
51,64,40,air,2
3,15,49,road,5
13,55,112,rail,5
39,37,106,road,4
29,66,95,rail,3
49,50,113,rail,2
38,24,34,rail,2
45,2,72,air,5
21,34,19,road,2
17,37,109,rail,2
36,70,24,air,1
45,29,11,road,4
10,56,38,road,2
40,29,62,road,1
56,31,147,rail,2
66,60,140,air,3
68,39,134,air,5
20,27,48,air,4
69,30,61,road,2
61,50,56,road,1
49,59,63,air,3
6,39,96,road,3
37,44,68,rail,5
1,33,145,road,1
63,69,120,rail,5
22,4,65,rail,1
11,35,130,rail,1
37,14,59,road,3
55,68,83,road,5
67,68,115,air,4
29,30,140,rail,3
62,34,123,air,5
22,8,3,rail,4
36,62,116,road,5
26,47,137,air,4
11,64,63,rail,2
20,21,84,air,5
14,53,103,rail,3
20,15,116,rail,2
15,59,16,road,1
37,15,20,air,2
2,34,146,rail,4
68,64,113,air,2
1,46,19,road,4
70,54,139,rail,2
21,23,74,rail,4
4,23,124,rail,5
4,35,121,road,5
19,43,86,rail,2
32,65,147,air,4
57,43,40,rail,5
44,68,106,air,1
35,24,75,road,5
46,3,70,road,1
63,23,90,air,5
8,67,150,road,2
56,51,22,road,2
29,24,16,air,5
20,38,44,road,4
40,30,10,rail,3
30,64,145,rail,4
4,52,133,rail,3
27,17,79,air,5
3,1,8,rail,3
51,46,99,air,2
44,0,113,road,4
14,5,35,rail,4
0,30,123,road,2
57,69,57,air,1
57,22,112,road,2
24,47,45,road,1
19,58,130,air,4
17,54,91,air,5
4,7,109,air,2
39,28,1,air,4
63,20,34,rail,3
63,3,33,rail,3
70,26,25,air,2
41,12,125,rail,5
60,50,14,air,1
59,22,23,rail,5
8,35,110,rail,1
54,34,23,air,1
70,56,61,rail,2
66,18,112,rail,4
31,43,86,air,3
26,10,136,rail,1
65,34,97,air,3
7,15,27,rail,4
33,1,15,rail,1
65,0,87,air,1
64,17,71,rail,2
19,3,46,road,3
12,20,133,rail,3
54,13,125,air,5
17,38,123,rail,1
69,21,106,air,1
42,29,83,road,4
57,50,5,road,4
64,20,138,rail,1
40,6,123,rail,4
30,51,2,road,2
23,0,65,road,3
43,18,41,road,1
68,17,10,road,4
58,62,53,rail,2
4,6,30,rail,1
50,67,22,road,1
31,20,105,road,5
67,4,85,road,5
26,38,10,rail,1
23,27,30,air,2
37,64,47,road,3
65,19,4,rail,4
19,53,69,air,2
11,29,123,road,2
12,31,36,rail,3
53,50,56,road,3
14,38,113,air,2
40,18,68,rail,3
7,9,1,air,5
19,43,92,road,1
16,64,44,air,3
43,60,94,road,4
20,44,73,road,5
59,19,58,air,3
33,68,123,road,4
2,18,113,air,5
67,38,42,rail,5
13,65,37,road,5
58,52,46,air,1
11,41,33,air,1
44,69,54,air,4
10,44,132,air,4
66,5,125,road,3
64,36,16,road,1
5,18,148,air,3
68,24,23,air,4
45,20,87,road,5
32,40,29,rail,1
22,24,55,rail,1
33,17,78,rail,2
41,18,83,road,4
36,41,129,air,5
40,8,24,rail,1
65,68,10,rail,3
27,63,6,air,2
59,34,15,air,1
61,29,77,rail,4
14,1,126,air,5
44,2,114,road,1
27,42,102,road,4
44,55,52,air,2
4,56,85,air,1
9,55,85,road,5
54,9,68,road,5
34,22,127,road,1
7,61,18,road,2
62,1,25,road,3
62,44,134,air,5
2,4,108,rail,1
17,30,143,road,1
48,59,6,road,3
42,36,115,air,4
43,46,139,rail,3
59,6,65,road,4
5,47,1,road,2
61,68,89,road,3
32,15,42,air,1
33,26,9,road,1
21,67,80,air,4
0,46,114,rail,1
43,65,49,road,4
59,56,18,air,2
48,64,143,road,5
4,5,107,road,1
37,36,86,rail,4
38,63,140,rail,5
13,67,12,rail,5
26,39,147,road,2
42,67,145,rail,5
4,16,150,air,4
47,40,142,air,1
39,69,12,road,5
65,16,129,air,5
60,30,108,air,2
17,40,97,air,1
17,14,59,road,4
25,58,10,road,3
9,34,149,road,5
58,39,108,road,3
62,51,22,road,2
67,16,4,air,1
67,26,78,air,4
17,29,44,road,5
50,31,17,air,3
21,5,65,air,3
13,4,139,air,3
56,17,28,air,3
65,33,101,road,2
42,62,16,road,3
11,13,8,road,4
6,24,95,air,4
59,12,64,rail,4
51,40,37,air,4
11,5,53,air,1
51,21,72,rail,1
70,21,28,road,5
7,31,19,rail,1
11,18,84,air,5
45,31,5,rail,5
48,2,17,rail,2
46,36,86,air,3
69,57,137,road,3
26,23,82,air,5
5,2,43,road,3
48,33,31,road,1
50,55,104,rail,3
61,35,40,air,5
13,11,132,road,2
59,68,129,air,3
22,15,34,road,2
32,3,86,road,1
43,33,85,air,4
47,64,99,air,5
38,40,68,rail,3
7,9,59,road,2
52,63,79,rail,5
19,45,47,road,3
57,1,117,road,1
18,36,91,rail,5
53,13,140,road,1
63,67,75,air,2
18,60,65,rail,1
4,12,120,road,2
31,66,141,air,5
29,52,100,rail,2
38,37,90,road,2
23,49,136,air,2
31,24,59,road,1
45,29,38,rail,1
28,69,142,road,3
24,0,29,rail,4
34,64,89,road,3
31,50,88,rail,3
61,47,100,rail,4
22,62,130,rail,3
53,30,79,air,5
62,66,9,rail,5
43,31,90,air,4
0,54,56,road,5
34,44,135,road,1
22,1,10,rail,2
47,16,99,road,4
1,15,90,rail,2
42,56,5,air,4
60,63,65,road,2
10,58,56,rail,2
32,70,20,rail,1
60,38,83,road,1
5,26,50,road,4
37,35,132,air,2
13,54,6,air,2
5,18,97,rail,2
57,59,78,road,5
3,25,24,air,1
14,40,60,air,5
12,47,2,road,4
25,62,137,road,4
22,29,78,road,1
56,23,73,rail,1
59,1,15,rail,3
31,15,107,rail,1
29,70,104,rail,1
65,12,84,road,1
39,21,68,air,5
69,41,100,rail,1
44,20,84,road,5
64,52,71,road,1
43,57,111,road,4
39,48,64,rail,2
16,26,125,road,3
11,49,110,road,1
26,67,98,air,3
63,38,150,road,4
15,17,95,road,5
34,30,105,road,3
6,9,52,road,3
35,29,107,rail,2
24,68,140,rail,5
52,31,142,road,2
9,58,82,air,5
54,16,73,air,3
20,22,44,air,4
56,28,128,road,3
69,28,76,road,4
5,26,42,rail,5
67,3,2,rail,5
2,46,35,road,2
21,58,109,rail,3
11,58,115,air,4
39,0,84,rail,5
23,47,58,road,5
64,6,122,road,3
22,29,92,road,5
62,42,110,road,5
67,60,48,road,4
63,27,30,air,1
42,1,35,road,1
69,15,76,air,5
70,10,136,road,4
14,24,60,air,1
37,12,73,road,2
18,58,107,air,2
37,2,92,rail,5
35,6,5,air,2
3,4,109,air,2
40,45,105,rail,3
24,49,22,air,2
21,48,62,air,2
70,15,62,rail,4
32,10,142,road,2
49,63,21,rail,1
3,48,106,rail,1
38,24,33,air,2
61,49,131,road,4
35,27,137,road,4
32,40,140,rail,2
42,36,137,road,5
54,32,111,rail,4
37,53,65,rail,1
23,36,24,air,3
38,44,95,rail,3
54,22,75,rail,2
65,61,40,road,5
26,44,57,air,2
35,54,102,rail,4
4,24,65,road,3
60,23,9,air,3
30,2,145,rail,2
19,34,111,road,5
61,42,35,air,4
38,26,41,rail,2
29,44,117,air,3
4,5,149,rail,1
70,53,123,road,1
67,11,142,air,3
41,18,126,air,1
65,29,22,rail,1
69,53,114,air,5
39,65,63,rail,5
68,3,133,rail,1
16,35,41,air,3
36,42,107,air,4
48,34,54,road,1
20,43,106,air,2
42,9,15,road,5
48,33,128,rail,2
34,30,118,air,1
0,65,5,road,3
17,22,100,road,3
66,8,67,rail,1
46,34,143,road,2
21,64,105,road,1
30,61,135,road,2
66,23,52,road,1
20,26,108,air,3
33,21,16,road,2
46,17,49,rail,4
62,47,91,road,3
47,23,116,road,4
31,36,78,rail,4
46,19,107,air,2
7,44,99,air,4
62,45,34,rail,3
27,66,121,road,2
50,12,107,air,2
21,5,47,air,3
3,2,18,road,5
8,34,71,road,3
48,12,81,rail,1
4,10,36,air,5
62,68,62,rail,5
38,45,131,air,3
2,54,57,rail,4
30,33,80,rail,1
17,65,90,air,4
21,31,47,air,3
19,40,24,air,1
32,12,133,rail,1
0,6,140,air,3
44,33,44,air,2
9,18,5,air,5
34,68,12,rail,1
1,53,11,rail,5
35,28,40,road,5
23,7,119,rail,4
19,6,51,rail,2
51,46,5,road,2
14,34,12,rail,5
19,34,119,rail,2
70,34,9,rail,3
67,19,98,road,1
52,34,101,air,1
27,3,11,road,4
20,41,140,air,1
31,0,150,air,2
67,15,143,road,4
31,14,138,road,3
52,27,14,air,5
52,26,5,air,2
62,29,87,rail,2
30,50,69,rail,3
50,6,15,road,3
53,20,95,road,5
8,19,75,rail,2
14,33,12,rail,2
55,40,51,air,3
9,22,138,road,5
9,10,111,rail,2
31,40,57,air,3
47,37,6,air,4
41,46,1,road,1
14,30,26,rail,1
21,26,76,air,1
29,6,51,air,5
2,60,117,road,3
68,29,48,rail,3
59,28,122,road,1
56,31,86,rail,4
25,43,76,rail,3
13,36,56,road,5
55,12,5,air,3
47,20,47,road,2
64,26,74,air,5
26,63,57,road,3
59,25,42,road,1
33,14,95,road,3
49,59,120,road,3
10,44,146,road,1
54,50,60,rail,1
40,43,69,air,5
35,45,48,road,4
30,63,94,rail,3
61,1,17,air,1
24,65,118,rail,2
15,56,130,road,5
25,52,76,road,5
11,49,50,air,1
50,5,145,rail,4
61,66,104,road,1
20,43,109,road,2
49,43,112,rail,4
22,1,5,air,3
29,54,111,road,5
35,21,138,rail,1
62,18,98,road,4
64,57,79,rail,5
53,67,86,rail,4
55,50,90,road,2
50,31,132,air,5
23,39,12,road,3
58,15,145,air,3
20,41,5,rail,1
6,19,16,air,4
51,3,92,rail,5
4,62,83,air,5
12,37,68,rail,3
38,62,125,road,4
50,23,102,air,4
38,44,1,road,5
11,37,109,rail,2
51,49,33,road,3
27,55,93,road,4
40,14,91,rail,1
55,62,39,air,3
65,50,3,rail,3
29,66,75,rail,4
39,52,83,rail,4
40,19,61,rail,4
49,31,106,rail,1
3,61,140,road,4
40,58,51,air,2
45,37,86,air,2
19,46,77,road,3
7,43,37,road,2
26,57,80,rail,1
17,60,59,road,5
3,37,10,rail,5
6,64,136,air,5
62,66,44,road,2
14,18,2,air,3
23,3,91,rail,4
48,21,149,air,1
66,7,88,rail,4
30,64,41,road,1
26,14,106,road,1
68,29,119,air,5
69,5,127,rail,3
56,40,5,road,4
22,53,137,road,1
59,28,133,rail,2
38,44,8,air,3
67,25,132,air,4
13,46,63,road,5
18,5,20,air,2
11,6,45,rail,5
28,16,80,air,1
8,52,131,air,2
58,29,43,air,3
27,63,86,air,1
57,24,2,rail,2
17,29,83,road,3
1,12,83,air,4
40,44,93,rail,4
41,40,42,air,3
52,8,120,rail,5
36,44,38,air,2
54,15,76,rail,5
63,4,78,road,2
57,52,29,rail,1
29,22,110,road,2
9,58,48,road,4
11,57,145,road,2
18,52,101,road,1
64,68,26,rail,3
47,55,36,road,3
13,39,53,rail,2
62,29,109,air,5
63,17,35,air,4
69,34,75,air,5
44,2,76,air,3
10,41,11,rail,1
38,46,87,rail,1
1,10,131,air,5
35,47,19,rail,3
35,43,89,road,1
1,58,51,rail,1
6,10,36,rail,3
9,12,95,air,5
64,42,110,road,1
12,24,4,air,1
21,1,95,rail,4
41,7,110,air,2
56,17,72,rail,4
19,46,120,air,2
6,25,97,road,5
38,43,48,road,3
30,37,145,rail,4
26,43,135,road,4
50,9,77,road,3
70,9,113,air,5
38,66,131,road,4
14,41,23,road,3
27,57,37,air,4
26,25,96,rail,3
22,61,88,road,4
30,50,12,road,5
46,65,137,air,1
14,10,44,air,5
57,47,34,road,4
21,70,143,rail,3
58,45,118,air,4
11,50,41,air,3
24,69,145,air,1
56,21,99,rail,4
64,8,6,road,5
57,6,98,air,1
23,27,90,rail,4
54,40,150,road,5
24,52,11,road,4
17,12,19,road,3
54,66,107,rail,5
63,34,82,road,3
21,53,42,rail,2
70,50,132,rail,3
5,10,16,air,2
57,2,62,rail,4
47,4,60,air,1
69,35,55,rail,2
21,37,59,air,5
10,22,143,air,5
9,70,91,air,3
24,5,97,road,2
0,52,20,rail,4
59,17,117,air,5
50,30,94,road,2
30,7,3,rail,1
54,2,54,rail,5
40,7,43,air,1
49,70,23,rail,5
23,1,113,rail,4
48,60,93,rail,4
32,8,136,air,2
0,15,76,rail,3
48,22,11,road,2
33,20,127,air,5
62,25,52,rail,5
36,1,124,road,3
22,24,109,rail,5
12,50,113,air,1
63,32,120,rail,2
47,6,149,air,3
46,20,28,rail,1
28,38,115,road,2
52,57,87,road,4
7,62,55,road,5
4,43,96,air,5
51,5,142,road,1
10,34,62,road,3
5,16,47,rail,2
69,22,12,air,1
16,24,148,rail,5
19,23,25,road,3
29,48,114,road,4
17,33,115,rail,2
59,35,71,road,5
44,29,6,air,1
67,22,123,rail,5
68,61,89,air,5
32,70,13,road,3
12,53,105,rail,3
48,50,106,air,2
10,68,34,rail,2
62,67,21,rail,5
62,41,31,road,2
8,59,78,road,3
23,30,79,road,2
27,25,28,air,3
11,17,91,road,5
65,37,104,air,3
13,62,67,air,4
0,60,73,rail,5
1,20,149,air,4
49,53,39,rail,3
53,19,47,air,5
21,4,146,rail,5
34,52,25,rail,2
1,57,117,rail,2
64,18,52,rail,3
18,7,40,rail,4
15,53,23,rail,3
31,4,94,rail,4
66,42,114,air,5
27,17,106,road,4
27,57,80,air,3
17,31,91,rail,1
31,13,114,road,3
17,0,17,air,5
56,12,144,road,1
16,59,25,road,5
61,6,84,rail,4
7,50,147,rail,1
27,68,87,air,3
49,59,125,road,3
9,62,16,road,3
60,4,123,rail,4
15,49,114,rail,1
69,49,39,rail,3
57,3,69,road,1
27,18,15,air,4
59,28,4,road,4
40,34,125,air,4
32,69,58,road,1
14,24,37,road,3
30,51,136,air,2
35,12,79,air,5
67,28,148,air,3
27,10,61,road,4
4,36,20,air,3
2,49,32,air,4
10,40,47,road,4
50,53,96,air,2
57,40,17,rail,1
12,30,43,road,3
43,46,137,air,2
67,45,28,road,1
42,13,116,road,3
44,38,32,air,4
64,38,111,road,1
34,62,100,air,1
21,44,18,rail,5
30,21,135,rail,5
37,1,132,air,3
50,29,28,air,4
27,2,103,rail,2
46,53,137,rail,4
11,28,71,air,4
10,28,121,rail,1
52,39,8,rail,5
52,46,148,rail,5
55,32,77,road,5
55,52,54,road,2
7,45,4,air,3
51,62,45,air,4
5,23,76,air,4
51,3,57,road,3
70,12,108,air,2
59,66,98,air,2
18,58,23,road,2
53,10,63,air,3
38,11,122,rail,3
59,6,97,rail,3
46,55,103,air,1
59,49,35,road,1
11,68,120,rail,3
44,34,139,air,2
61,59,34,air,2
11,9,77,rail,3
34,30,90,rail,2
54,39,145,road,1
16,57,4,road,1
39,0,108,rail,3
14,26,94,road,2
10,50,127,road,3
65,27,5,road,1
3,47,96,rail,3
66,9,132,rail,4
12,13,131,road,4
24,15,90,road,1
63,9,111,rail,3
20,30,52,rail,2
9,64,72,air,5
36,47,2,rail,1
22,20,3,air,3
59,36,5,rail,3
59,12,29,road,4
16,33,75,rail,1
67,34,102,road,1
20,46,95,rail,5
21,2,56,road,5
5,34,19,road,5
59,19,7,rail,2
37,44,54,air,2
29,10,20,air,3
50,64,141,air,3
27,10,117,air,1
12,55,89,air,5
17,0,116,rail,5
29,37,61,rail,2
45,50,12,air,3
16,31,15,road,3
54,10,131,rail,2
20,42,15,rail,5
43,51,128,road,3
65,21,69,rail,4
52,26,116,air,1
26,67,122,rail,2
50,20,116,road,2
10,17,119,rail,3
6,55,146,road,2
33,27,113,road,1
67,64,38,air,4
42,69,11,air,3
65,48,67,rail,5
22,34,101,rail,4
14,5,24,air,1
3,30,103,road,1
62,47,16,road,4
8,50,18,rail,2
32,46,95,rail,4
45,9,142,air,2
41,65,133,air,3
1,27,107,rail,1
53,31,61,air,1
32,61,35,air,2
60,49,50,air,5
46,63,123,air,2
58,40,63,rail,2
33,11,145,rail,5
18,20,134,road,2
2,66,129,rail,5
6,22,77,road,3
22,66,28,rail,2
14,11,102,air,2
4,52,34,road,3
70,28,42,air,4
19,37,135,road,4
68,52,10,road,2
53,30,112,air,1
61,51,31,air,4
52,2,28,road,3
49,63,146,rail,2
67,40,107,air,2
26,2,51,road,5
53,65,76,road,2
24,8,121,rail,4
66,40,147,air,5
67,37,126,air,1
56,7,108,air,5
6,19,9,rail,5
67,2,146,rail,3
53,32,21,road,5
33,5,131,road,3
60,46,142,air,3
1,32,52,rail,3
44,48,120,road,1
0,46,44,rail,2
17,34,44,rail,3
66,49,126,air,2
59,41,136,rail,4
1,25,96,rail,2
25,36,67,road,3
24,64,10,road,2
33,54,118,air,1
11,10,87,air,1
62,16,124,rail,3
7,36,62,air,5
14,45,110,road,2
10,8,119,air,4
60,2,139,rail,5
40,70,26,road,3
51,10,89,air,3
8,68,54,road,1
1,58,31,air,3
23,54,135,road,2
38,35,8,rail,5
38,55,8,road,5
17,7,13,road,5
56,16,11,rail,4
4,19,86,air,4
24,59,121,road,5
18,41,97,rail,4
63,29,14,rail,1
59,8,72,road,5
68,59,99,rail,4
10,34,146,air,5
32,61,80,rail,2
13,52,70,rail,5
19,18,130,rail,5
17,57,83,road,2
51,47,12,road,3
19,42,8,rail,3
10,27,46,road,2
60,25,50,rail,2
9,67,89,road,1
3,46,77,rail,1
49,35,76,air,5
30,2,33,air,1
51,65,120,rail,5
20,61,125,air,4
70,20,118,air,1
40,45,37,road,4
34,22,36,rail,2
59,7,103,air,4
30,54,73,rail,1
5,65,28,rail,3
48,18,30,road,1
17,43,71,road,3
55,12,115,air,5
67,48,25,air,5
58,46,86,road,3
47,12,61,air,4
61,27,125,road,5
5,39,65,rail,5
4,35,68,air,4
39,40,19,road,2
23,41,16,road,1
8,9,131,rail,4
54,58,87,rail,3
2,20,140,air,3
63,13,120,air,1
45,21,122,road,3
9,50,137,air,2
27,62,45,rail,4
10,50,127,rail,1
54,12,3,rail,3
39,47,48,road,2
54,5,52,rail,1
44,29,99,air,2
35,33,144,rail,1
7,43,2,rail,4
8,60,58,road,5
51,68,110,air,5
45,9,39,rail,3
33,17,57,rail,2
26,58,144,road,5
48,44,87,air,3
30,67,106,air,2
27,3,102,rail,5
17,59,150,rail,3
17,5,38,rail,1
40,5,121,rail,2
9,3,34,rail,2
47,12,130,road,1
34,52,111,rail,4
68,60,108,air,3
26,31,69,road,4
70,11,33,rail,5
66,7,147,road,4
40,24,109,rail,5
52,6,34,air,2
50,2,130,rail,5
60,31,27,air,1
3,19,77,air,1
41,59,126,rail,3
4,47,84,road,4
31,19,84,road,5
29,5,114,road,5
14,24,91,rail,5
5,2,37,road,4
33,3,142,road,5
15,6,138,rail,3
26,4,130,rail,1
22,70,6,rail,5
6,21,51,road,5
43,42,63,rail,4
40,16,42,road,3
2,52,92,rail,3
54,58,7,road,1
11,53,73,rail,4
46,22,118,road,5
66,53,62,rail,4
21,48,143,rail,1
5,46,95,air,5
4,57,127,road,5
59,52,74,air,2
43,23,81,air,3
30,67,62,rail,2
40,8,83,rail,2
54,31,54,air,5
66,67,95,road,4
6,36,54,rail,1
51,23,88,rail,3
14,7,95,rail,2
56,40,69,road,5
22,68,132,road,3
39,15,112,air,5
70,52,62,air,1
33,65,47,road,4
10,12,124,air,2
54,5,120,air,5
14,55,95,air,1
44,55,74,road,3
3,36,28,rail,5
60,30,16,air,2
26,20,119,rail,5
55,26,80,rail,3
69,0,54,rail,3
67,27,42,road,4
31,61,110,road,1
51,28,3,road,2
11,36,78,air,5
70,23,18,air,1
11,45,39,rail,4
28,43,125,rail,3
64,42,120,rail,3
11,55,69,rail,3
11,59,34,rail,5
15,42,85,rail,5
19,48,64,rail,5
37,68,43,air,3
27,24,60,road,3
61,56,97,rail,4
12,19,87,road,1
8,43,43,air,3
55,68,147,air,5
37,59,138,air,4
38,23,112,road,1
22,0,77,road,3
44,30,141,air,3
58,27,134,road,2
23,10,85,road,5
1,58,94,air,1
52,14,142,road,4
66,40,46,rail,5
36,39,95,road,3
32,59,53,air,1
52,65,51,road,4
54,12,114,road,4
32,41,45,road,5
11,6,140,rail,4
64,51,53,air,4
49,18,11,road,2
51,21,92,rail,2
31,2,27,road,1
48,57,12,rail,5
19,57,127,rail,4
61,67,111,rail,1
27,1,62,air,5
24,15,61,air,5
62,56,68,air,3
68,21,86,rail,1
24,26,120,road,1
41,1,147,air,5
5,66,119,air,4
24,51,53,road,2
65,40,48,road,4
6,48,119,road,5
54,11,112,road,1
4,70,67,road,2
40,49,18,air,5
53,61,140,road,2
42,70,64,rail,2
70,7,124,air,1
64,39,96,air,4
37,7,99,rail,5
23,22,124,air,2
51,34,108,air,4
66,36,85,road,3
31,20,4,rail,2
54,62,48,rail,1
53,17,78,air,3
10,15,91,rail,2
14,44,143,rail,1
52,1,38,air,1
44,57,41,road,3
70,54,93,rail,1
24,59,28,rail,4
53,26,35,air,3
48,42,137,road,5
17,46,107,road,3
6,13,49,rail,1
6,23,69,air,2
24,18,120,road,5
65,66,78,rail,2
51,41,17,road,1
59,26,6,air,4
11,32,132,rail,3
40,32,92,road,3
18,6,24,rail,4
59,54,149,road,2
25,30,96,road,2
19,51,65,road,1
64,63,93,air,2
18,42,124,rail,4
18,7,103,road,4
56,26,147,road,2
47,35,74,air,4
51,47,121,road,4
64,16,85,road,1
